Register Number,Guideline Title (German),Guideline Title (English),Class,Valid From,Valid Until
015-077,Empfehlungen zur Verhinderung lagerungsbedingter Schäden in der operativen Gynäkologie,Recommendations for preventing positioning-related injuries in operative gynecology,S2k,01.08.2020,31.07.2025
015-079,Management von Dammrissen III. und IV. Grades nach vaginaler Geburt,Management of third- and fourth-degree perineal tears after vaginal delivery,S2k,01.02.2020,31.01.2025
015-080,Fetale Wachstumsrestriktion,Fetal growth restriction,S2k,01.10.2024,30.09.2029
015-081,Adipositas und Schwangerschaft,Obesity and pregnancy,S3,01.10.2019,30.09.2024
015-082,Fertilitätserhalt bei onkologischen Erkrankungen,Fertility preservation in oncological diseases,S2k,19.05.2025,18.09.2030
015-083,Die vaginale Geburt am Termin,Vaginal birth at term,S3,22.12.2020,21.12.2025
015-084,Die Sectio caesarea,Caesarean section,S3,01.06.2020,31.05.2025
015-085,Diagnostik und Therapie vor einer assistierten reproduktionsmedizinischen Behandlung (ART),Diagnostics and therapy prior to assisted reproductive technology (ART) treatment,S2k,01.02.2019,31.01.2024
015-087,Überwachung und Betreuung von Zwillingsschwangerschaften,Monitoring and care of twin pregnancies,S2e,01.05.2020,30.04.2025
015-089,Fetale Überwachung in der Schwangerschaft (Indikation und Methodik zur fetalen Zustandsdiagnostik im low-risk Kollektiv),Fetal monitoring during pregnancy (indication and methodology for fetal status diagnostics in low-risk groups),S3,01.02.2023,31.01.2028
015-090,Nierenerkrankungen und Schwangerschaft,Kidney disease and pregnancy,S2k,01.10.2021,30.09.2025
015-091,Harninkontinenz der Frau,Female urinary incontinence,S2k,01.01.2022,31.12.2026
015-094,Schwangerschaftsabbruch im 1. Trimenon,Abortion in the first trimester,S2k,26.01.2023,25.01.2026
015-095,Nicht-hormonelle Empfängnisverhütung,Non-hormonal contraception,S2k,01.01.2024,31.12.2028
015-097,Empfehlungen zur Betreuung und Versorgung von weiblichen Betroffenen sexualisierter Gewalt,Recommendations for the care and support of female victims of sexual violence,S1,01.01.2026,31.12.2028
015-098,Schulterdystokie,Schulterdystokie,S2k,01.10.2024,30.09.2029
027-072,Stilldauer und Interventionen zur Stillförderung,Duration of breastfeeding and interventions to promote breastfeeding,S3,01.04.2025,31.03.2030
032-033OL,"Diagnostik, Therapie und Nachsorge der Patientin mit Zervixkarzinom","Diagnosis, therapy and follow-up care of the patient with cervical cancer",S3,10.03.2021,31.10.2025
032-033OL KF,"Konsultationsfassung: Diagnostik, Therapie und Nachsorge der Patientin mit Zervixkarzinom","Consultation version: Diagnosis, therapy and follow-up care of the patient with cervical cancer",S3,28.07.2026,08.09.2026
032-034OL,Endometriumkarzinom,Endometrial carcinoma,S3,26.05.2026,31.03.2031
032-035OL,"Diagnostik, Therapie und Nachsorge maligner Ovarialtumoren","Diagnosis, therapy and follow-up care of malignant ovarian tumors",S3,31.10.2024,30.10.2029
032-042,"Diagnostik, Therapie und Nachsorge des Vaginalkarzinoms und seiner Vorstufen","Diagnosis, therapy and follow-up care of vaginal cancer and its precursors",S2k,01.10.2018,30.09.2023
032-045OL,"Früherkennung, Diagnostik, Therapie und Nachsorge des Mammakarzinoms","Early detection, diagnosis, therapy and follow-up care of breast cancer",S3,19.12.2025,18.12.2030
032-049,Gestationsbedingte und nicht-gestationsbedingte Trophoblasterkrankungen,Gestational and non-gestational trophoblastic diseases,S2k,01.01.2026,31.12.2030
032-055OL,Komplementärmedizin in der Behandlung von onkologischen PatientInnen,Complementary medicine in the treatment of oncology patients,S3,31.05.2024,31.05.2029
057-008,"Gestationsdiabetes mellitus (GDM), Diagnostik, Therapie und Nachsorge","Gestational diabetes mellitus (GDM): diagnosis, therapy and follow-up care",S3,28.02.2018,27.02.2023
085-002,Ersttrimester Diagnostik und Therapie @ 11–13+6 Schwangerschaftswochen,First trimester diagnostics and therapy @ 11–13+6 weeks of pregnancy,S2e,01.01.2024,31.12.2028
179-002,"Schwangerschaft, Geburt und Wochenbett bei Frauen mit Querschnittlähmung","Pregnancy, childbirth and postpartum period in women with spinal cord injuries",S2k,14.08.2024,13.08.2029
108-001,Einwilligung von Menschen mit Demenz in medizinische Maßnahmen,Consent of people with dementia to medical procedures,S2k,31.10.2019,30.10.2024
